#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,
2020,01,03,08,00,189,6.9,7.6,99.00,99.00,99.00,999,1015.3,16.5,999.0,16.5,99.0,99.00,
2020,01,03,09,00,219,4.4,4.8,99.00,99.00,99.00,999,1015.6,16.7,999.0,16.7,99.0,99.00,
2020,01,03,10,00,224,3.3,3.8,99.00,99.00,99.00,999,1015.7,15.4,999.0,15.4,99.0,99.00,
2020,01,03,11,00,233,4.0,5.5,99.00,99.00,99.00,999,1016.1,17.0,999.0,17.0,99.0,99.00,
2020,01,03,12,00,224,4.4,5.0,99.00,99.00,99.00,999,1016.2,15.8,999.0,15.8,99.0,99.00,
2020,01,03,13,00,216,5.8,6.7,99.00,99.00,99.00,999,1016.5,15.9,999.0,15.9,99.0,99.00,
2020,01,03,14,00,208,7.4,8.0,99.00,99.00,99.00,999,1017.0,16.4,999.0,16.4,99.0,99.00,
2020,01,03,15,00,224,4.2,4.9,99.00,99.00,99.00,999,1017.7,16.2,999.0,16.2,99.0,99.00,
2020,01,03,16,00,216,4.4,4.8,99.00,99.00,99.00,999,1017.3,16.4,999.0,16.4,99.0,99.00,
2020,01,03,17,00,213,5.3,5.9,99.00,99.00,99.00,999,1016.5,16.3,999.0,16.3,99.0,99.00,
2020,01,03,18,00,193,7.3,8.4,99.00,99.00,99.00,999,1015.2,16.3,999.0,16.3,99.0,99.00,
2020,01,03,19,00,184,7.1,7.7,99.00,99.00,99.00,999,1014.5,16.4,999.0,16.4,99.0,99.00,
2020,01,03,20,00,202,4.3,5.1,99.00,99.00,99.00,999,1014.1,16.4,999.0,16.4,99.0,99.00,
2020,01,03,21,00,203,5.7,6.4,99.00,99.00,99.00,999,1013.9,17.0,999.0,17.0,99.0,99.00,
2020,01,03,22,00,188,7.8,8.5,99.00,99.00,99.00,999,1013.6,17.0,999.0,17.0,99.0,99.00,
2020,01,03,23,00,193,6.1,6.9,99.00,99.00,99.00,999,1014.1,16.7,999.0,16.7,99.0,99.00,
2020,01,04,00,00,194,6.2,6.8,99.00,99.00,99.00,999,1014.4,17.0,999.0,17.0,99.0,99.00,
2020,01,04,01,00,184,7.6,8.3,99.00,99.00,99.00,999,1014.3,17.2,999.0,17.2,99.0,99.00,
2020,01,04,02,00,193,7.7,8.3,99.00,99.00,99.00,999,1014.6,17.5,999.0,17.5,99.0,99.00,
2020,01,04,03,00,199,6.8,7.6,99.00,99.00,99.00,999,1014.8,17.3,999.0,17.3,99.0,99.00,
2020,01,04,04,00,196,8.5,9.7,99.00,99.00,99.00,999,1014.3,17.4,999.0,17.4,99.0,99.00,
2020,01,04,05,00,196,9.1,10.1,99.00,99.00,99.00,999,1013.6,17.5,999.0,17.5,99.0,99.00,
2020,01,04,06,00,205,9.5,10.7,99.00,99.00,99.00,999,1013.1,18.0,999.0,18.0,99.0,99.00,
2020,01,04,07,00,219,6.4,7.4,99.00,99.00,99.00,999,1012.9,17.4,999.0,17.4,99.0,99.00,
2020,01,04,08,00,212,6.8,7.3,99.00,99.00,99.00,999,1012.4,16.3,999.0,16.3,99.0,99.00,
2020,01,04,09,00,201,8.4,9.9,99.00,99.00,99.00,999,1012.0,17.2,999.0,17.2,99.0,99.00,
2020,01,04,10,00,220,6.9,7.6,99.00,99.00,99.00,999,1011.9,16.7,999.0,16.7,99.0,99.00,
2020,01,04,11,00,217,5.1,5.6,99.00,99.00,99.00,999,1011.3,16.1,999.0,16.1,99.0,99.00,
2020,01,04,12,00,221,7.8,9.2,99.00,99.00,99.00,999,1011.4,17.3,999.0,17.3,99.0,99.00,
2020,01,04,13,00,244,4.5,5.6,99.00,99.00,99.00,999,1012.2,17.7,999.0,17.7,99.0,99.00,
2020,01,04,14,00,306,2.4,3.8,99.00,99.00,99.00,999,1012.9,16.9,999.0,16.9,99.0,99.00,
2020,01,04,15,00,261,2.6,3.4,99.00,99.00,99.00,999,1013.6,16.8,999.0,16.8,99.0,99.00,
2020,01,04,16,00,213,3.4,3.7,99.00,99.00,99.00,999,1012.7,15.5,999.0,15.5,99.0,99.00,
2020,01,04,17,00,222,4.2,4.8,99.00,99.00,99.00,999,1011.4,15.2,999.0,15.2,99.0,99.00,
2020,01,04,18,00,228,3.8,5.7,99.00,99.00,99.00,999,1010.7,16.2,999.0,16.2,99.0,99.00,
2020,01,04,19,00,249,3.5,5.2,99.00,99.00,99.00,999,1009.7,17.9,999.0,16.6,99.0,99.00,
2020,01,04,20,00,257,5.0,7.0,99.00,99.00,99.00,999,1009.5,19.3,999.0,15.3,99.0,99.00,
2020,01,04,21,00,256,6.1,8.0,99.00,99.00,99.00,999,1009.8,19.2,999.0,13.3,99.0,99.00,
2020,01,04,22,00,244,3.4,4.5,99.00,99.00,99.00,999,1009.7,18.4,999.0,13.6,99.0,99.00,
2020,01,04,23,00,252,3.4,5.8,99.00,99.00,99.00,999,1010.3,16.8,999.0,12.6,99.0,99.00,
2020,01,05,00,00,280,3.1,4.9,99.00,99.00,99.00,999,1011.4,16.9,999.0,10.6,99.0,99.00,
2020,01,05,01,00,286,5.9,7.5,99.00,99.00,99.00,999,1012.7,15.5,999.0,7.8,99.0,99.00,
2020,01,05,02,00,286,6.0,9.3,99.00,99.00,99.00,999,1014.0,14.3,999.0,3.4,99.0,99.00,
2020,01,05,03,00,297,12.5,16.9,99.00,99.00,99.00,999,1015.3,13.1,999.0,0.7,99.0,99.00,
2020,01,05,04,00,304,7.9,11.5,99.00,99.00,99.00,999,1016.8,11.6,999.0,-0.1,99.0,99.00,
2020,01,05,05,00,298,8.2,12.3,99.00,99.00,99.00,999,1018.1,10.4,999.0,-1.2,99.0,99.00,
2020,01,05,06,00,302,6.4,9.3,99.00,99.00,99.00,999,1019.4,9.3,999.0,-0.6,99.0,99.00,
2020,01,05,07,00,302,5.4,9.5,99.00,99.00,99.00,999,1020.4,8.4,999.0,-0.2,99.0,99.00,
2020,01,05,08,00,307,5.4,9.0,99.00,99.00,99.00,999,1021.3,7.5,999.0,-0.4,99.0,99.00,
2020,01,05,09,00,308,3.2,6.4,99.00,99.00,99.00,999,1021.8,6.7,999.0,-0.3,99.0,99.00,
2020,01,05,10,00,300,3.6,5.4,99.00,99.00,99.00,999,1021.9,6.2,999.0,-0.5,99.0,99.00,
2020,01,05,11,00,289,3.6,4.8,99.00,99.00,99.00,999,1023.0,5.5,999.0,-0.2,99.0,99.00,
2020,01,05,12,00,293,3.3,5.5,99.00,99.00,99.00,999,1024.1,4.9,999.0,-0.3,99.0,99.00,
2020,01,05,13,00,281,3.8,7.5,99.00,99.00,99.00,999,1025.1,4.9,999.0,0.0,99.0,99.00,
2020,01,05,14,00,286,3.9,5.1,99.00,99.00,99.00,999,1026.3,5.8,999.0,-0.5,99.0,99.00,
2020,01,05,15,00,292,4.4,5.8,99.00,99.00,99.00,999,1027.0,7.3,999.0,-0.3,99.0,99.00,
2020,01,05,16,00,306,2.6,4.1,99.00,99.00,99.00,999,1026.4,8.9,999.0,-0.4,99.0,99.00,
2020,01,05,17,00,298,4.5,6.2,99.00,99.00,99.00,999,1025.8,10.1,999.0,-0.7,99.0,99.00,
2020,01,05,18,00,323,2.6,4.2,99.00,99.00,99.00,999,1024.7,11.4,999.0,-0.4,99.0,99.00,
2020,01,05,19,00,264,2.8,4.4,99.00,99.00,99.00,999,1023.9,12.1,999.0,-0.3,99.0,99.00,
2020,01,05,20,00,301,2.3,4.1,99.00,99.00,99.00,999,1023.4,13.0,999.0,-0.6,99.0,99.00,
2020,01,05,21,00,244,2.1,3.0,99.00,99.00,99.00,999,1023.1,13.3,999.0,-0.4,99.0,99.00,
2020,01,05,22,00,263,2.1,2.8,99.00,99.00,99.00,999,1023.3,12.6,999.0,1.0,99.0,99.00,
2020,01,05,23,00,257,1.6,2.2,99.00,99.00,99.00,999,1023.6,10.5,999.0,2.1,99.0,99.00,
2020,01,06,00,00,245,2.0,2.4,99.00,99.00,99.00,999,1023.9,9.7,999.0,3.4,99.0,99.00,
2020,01,06,01,00,245,2.3,2.7,99.00,99.00,99.00,999,1024.0,9.0,999.0,3.9,99.0,99.00,
2020,01,06,02,00,262,1.6,2.2,99.00,99.00,99.00,999,1024.2,8.0,999.0,2.6,99.0,99.00,
2020,01,06,03,00,241,2.0,2.6,99.00,99.00,99.00,999,1024.1,7.5,999.0,2.9,99.0,99.00,
2020,01,06,04,00,235,2.8,3.2,99.00,99.00,99.00,999,1023.7,7.7,999.0,3.3,99.0,99.00,
2020,01,06,05,00,245,2.6,3.3,99.00,99.00,99.00,999,1023.1,7.8,999.0,3.6,99.0,99.00,
2020,01,06,06,00,249,2.8,4.3,99.00,99.00,99.00,999,1022.6,7.9,999.0,4.0,99.0,99.00,
2020,01,06,07,00,249,2.5,3.2,99.00,99.00,99.00,999,1022.5,7.5,999.0,3.3,99.0,99.00,
2020,01,06,08,00,238,2.8,3.4,99.00,99.00,99.00,999,1022.1,8.3,999.0,3.5,99.0,99.00,
2020,01,06,09,00,245,2.5,4.5,99.00,99.00,99.00,999,1021.5,8.5,999.0,3.1,99.0,99.00,
2020,01,06,10,00,265,3.2,4.7,99.00,99.00,99.00,999,1021.5,7.6,999.0,2.3,99.0,99.00,
2020,01,06,11,00,260,2.6,3.8,99.00,99.00,99.00,999,1021.9,7.1,999.0,2.1,99.0,99.00,
2020,01,06,12,00,255,3.2,3.9,99.00,99.00,99.00,999,1022.3,7.1,999.0,2.5,99.0,99.00,
2020,01,06,13,00,256,3.4,4.6,99.00,99.00,99.00,999,1022.7,7.2,999.0,2.4,99.0,99.00,
2020,01,06,14,00,280,3.4,6.5,99.00,99.00,99.00,999,1023.5,9.2,999.0,2.5,99.0,99.00,
2020,01,06,15,00,290,4.4,6.6,99.00,99.00,99.00,999,1023.9,11.6,999.0,2.7,99.0,99.00,
2020,01,06,16,00,302,4.1,5.4,99.00,99.00,99.00,999,1023.6,13.1,999.0,3.0,99.0,99.00,
2020,01,06,17,00,278,3.2,4.8,99.00,99.00,99.00,999,1022.6,14.1,999.0,3.1,99.0,99.00,
2020,01,06,18,00,289,1.7,2.8,99.00,99.00,99.00,999,1021.2,15.8,999.0,3.5,99.0,99.00,
2020,01,06,19,00,199,3.3,4.8,99.00,99.00,99.00,999,1020.8,14.5,999.0,8.4,99.0,99.00,
2020,01,06,20,00,210,5.9,6.4,99.00,99.00,99.00,999,1020.6,13.9,999.0,8.6,99.0,99.00,
2020,01,06,21,00,198,3.4,3.9,99.00,99.00,99.00,999,1020.6,14.0,999.0,9.9,99.0,99.00,
2020,01,06,22,00,211,4.4,4.7,99.00,99.00,99.00,999,1020.8,13.7,999.0,11.0,99.0,99.00,
2020,01,06,23,00,213,4.0,4.3,99.00,99.00,99.00,999,1021.0,13.5,999.0,11.8,99.0,99.00,
2020,01,07,00,00,241,2.4,3.3,99.00,99.00,99.00,999,1021.1,13.2,999.0,11.2,99.0,99.00,
2020,01,07,01,00,244,2.7,3.4,99.00,99.00,99.00,999,1021.1,12.7,999.0,10.6,99.0,99.00,
2020,01,07,02,00,247,2.6,3.9,99.00,99.00,99.00,999,1021.5,12.2,999.0,11.2,99.0,99.00,
2020,01,07,03,00,239,2.9,3.7,99.00,99.00,99.00,999,1021.2,12.6,999.0,11.1,99.0,99.00,
2020,01,07,04,00,234,2.9,3.5,99.00,99.00,99.00,999,1021.0,12.4,999.0,11.0,99.0,99.00,
2020,01,07,05,00,238,2.7,3.4,99.00,99.00,99.00,999,1021.0,12.1,999.0,11.2,99.0,99.00,
2020,01,07,06,00,233,3.2,4.1,99.00,99.00,99.00,999,1020.9,12.3,999.0,11.8,99.0,99.00,
2020,01,07,07,00,242,2.6,3.8,99.00,99.00,99.00,999,1020.7,11.4,999.0,11.0,99.0,99.00,
2020,01,07,08,00,229,2.2,3.0,99.00,99.00,99.00,999,1020.4,11.3,999.0,10.1,99.0,99.00,
2020,01,07,09,00,234,4.1,5.3,99.00,99.00,99.00,999,1020.4,12.2,999.0,9.5,99.0,99.00,
2020,01,07,10,00,236,3.7,5.0,99.00,99.00,99.00,999,1020.1,12.3,999.0,8.6,99.0,99.00,
2020,01,07,11,00,233,3.2,3.8,99.00,99.00,99.00,999,1019.8,12.2,999.0,8.6,99.0,99.00,
2020,01,07,12,00,235,2.5,3.4,99.00,99.00,99.00,999,1019.3,12.2,999.0,9.4,99.0,99.00,
2020,01,07,13,00,216,5.4,5.9,99.00,99.00,99.00,999,1019.2,13.0,999.0,10.2,99.0,99.00,
2020,01,07,14,00,227,4.7,6.1,99.00,99.00,99.00,999,1019.6,13.4,999.0,9.8,99.0,99.00,
2020,01,07,15,00,219,6.3,7.2,99.00,99.00,99.00,999,1019.6,14.2,999.0,10.7,99.0,99.00,
2020,01,07,16,00,222,7.9,9.6,99.00,99.00,99.00,999,1018.8,14.1,999.0,10.7,99.0,99.00,
2020,01,07,17,00,213,8.0,9.1,99.00,99.00,99.00,999,1017.5,13.9,999.0,10.4,99.0,99.00,
2020,01,07,18,00,220,9.3,10.6,99.00,99.00,99.00,999,1016.7,14.4,999.0,11.3,99.0,99.00,
2020,01,07,19,00,220,8.1,9.4,99.00,99.00,99.00,999,1016.2,14.6,999.0,12.3,99.0,99.00,
2020,01,07,20,00,222,8.0,9.2,99.00,99.00,99.00,999,1015.9,15.0,999.0,12.7,99.0,99.00,
2020,01,07,21,00,259,5.3,6.9,99.00,99.00,99.00,999,1016.7,17.7,999.0,7.6,99.0,99.00,
2020,01,07,22,00,283,5.6,7.7,99.00,99.00,99.00,999,1018.0,17.0,999.0,5.0,99.0,99.00,
2020,01,07,23,00,260,2.1,2.7,99.00,99.00,99.00,999,1019.0,15.1,999.0,5.8,99.0,99.00,
2020,01,08,00,00,255,1.9,2.6,99.00,99.00,99.00,999,1020.0,14.0,999.0,6.2,99.0,99.00,
2020,01,08,01,00,270,1.5,2.3,99.00,99.00,99.00,999,1021.3,12.9,999.0,5.7,99.0,99.00,
2020,01,08,02,00,270,1.7,2.6,99.00,99.00,99.00,999,1022.3,11.9,999.0,4.1,99.0,99.00,
2020,01,08,03,00,296,3.0,3.9,99.00,99.00,99.00,999,1023.1,11.4,999.0,3.0,99.0,99.00,
2020,01,08,04,00,285,2.6,3.3,99.00,99.00,99.00,999,1023.8,9.7,999.0,3.1,99.0,99.00,
2020,01,08,05,00,303,2.5,3.6,99.00,99.00,99.00,999,1024.3,9.9,999.0,1.0,99.0,99.00,
2020,01,08,06,00,281,2.6,3.9,99.00,99.00,99.00,999,1024.7,8.6,999.0,0.7,99.0,99.00,
2020,01,08,07,00,292,2.2,3.1,99.00,99.00,99.00,999,1024.9,8.1,999.0,1.2,99.0,99.00,
2020,01,08,08,00,294,2.3,3.0,99.00,99.00,99.00,999,1025.4,7.7,999.0,1.3,99.0,99.00,
2020,01,08,09,00,304,3.0,4.4,99.00,99.00,99.00,999,1025.6,7.8,999.0,0.9,99.0,99.00,
2020,01,08,10,00,305,2.2,2.8,99.00,99.00,99.00,999,1025.5,7.6,999.0,0.7,99.0,99.00,
2020,01,08,11,00,302,3.6,4.9,99.00,99.00,99.00,999,1026.4,7.4,999.0,0.7,99.0,99.00,
2020,01,08,12,00,305,2.5,3.3,99.00,99.00,99.00,999,1027.3,6.5,999.0,1.2,99.0,99.00,
2020,01,08,13,00,309,2.8,4.1,99.00,99.00,99.00,999,1028.0,6.6,999.0,0.4,99.0,99.00,
2020,01,08,14,00,300,3.6,4.7,99.00,99.00,99.00,999,1029.0,8.0,999.0,0.5,99.0,99.00,
2020,01,08,15,00,304,3.1,4.4,99.00,99.00,99.00,999,1030.0,10.0,999.0,0.3,99.0,99.00,
2020,01,08,16,00,313,1.7,2.9,99.00,99.00,99.00,999,1029.8,12.2,999.0,0.3,99.0,99.00,
2020,01,08,17,00,275,2.3,3.2,99.00,99.00,99.00,999,1029.4,13.6,999.0,-1.5,99.0,99.00,
2020,01,08,18,00,248,2.7,4.1,99.00,99.00,99.00,999,1028.8,14.8,999.0,-1.5,99.0,99.00,
2020,01,08,19,00,234,2.1,4.3,99.00,99.00,99.00,999,1028.0,16.2,999.0,-3.0,99.0,99.00,
2020,01,08,20,00,213,6.0,7.1,99.00,99.00,99.00,999,1028.0,13.8,999.0,6.8,99.0,99.00,
2020,01,08,21,00,212,4.7,5.3,99.00,99.00,99.00,999,1028.4,14.2,999.0,7.5,99.0,99.00,
2020,01,08,22,00,226,2.1,2.5,99.00,99.00,99.00,999,1029.2,14.8,999.0,5.6,99.0,99.00,
2020,01,08,23,00,262,1.6,2.1,99.00,99.00,99.00,999,1029.6,14.0,999.0,0.0,99.0,99.00,
2020,01,09,00,00,267,1.8,2.1,99.00,99.00,99.00,999,1030.1,12.6,999.0,0.4,99.0,99.00,
2020,01,09,01,00,294,0.9,1.2,99.00,99.00,99.00,999,1031.0,11.5,999.0,1.3,99.0,99.00,
2020,01,09,02,00,309,1.2,1.7,99.00,99.00,99.00,999,1031.6,11.5,999.0,-0.1,99.0,99.00,
2020,01,09,03,00,308,1.2,1.4,99.00,99.00,99.00,999,1032.0,11.0,999.0,2.4,99.0,99.00,
2020,01,09,04,00,319,1.0,1.3,99.00,99.00,99.00,999,1032.1,10.4,999.0,0.5,99.0,99.00,
2020,01,09,05,00,313,1.9,2.1,99.00,99.00,99.00,999,1032.1,10.3,999.0,0.6,99.0,99.00,
2020,01,09,06,00,343,2.2,2.4,99.00,99.00,99.00,999,1032.2,9.0,999.0,3.0,99.0,99.00,
2020,01,09,07,00,14,2.1,2.6,99.00,99.00,99.00,999,1032.6,11.0,999.0,4.8,99.0,99.00,
2020,01,09,08,00,11,1.9,2.0,99.00,99.00,99.00,999,1033.1,11.0,999.0,4.4,99.0,99.00,
2020,01,09,09,00,23,3.3,3.8,99.00,99.00,99.00,999,1033.2,12.1,999.0,4.3,99.0,99.00,
2020,01,09,10,00,41,4.5,5.1,99.00,99.00,99.00,999,1033.5,12.3,999.0,6.0,99.0,99.00,
2020,01,09,11,00,44,3.8,4.3,99.00,99.00,99.00,999,1034.0,12.8,999.0,8.4,99.0,99.00,
2020,01,09,12,00,37,3.4,4.1,99.00,99.00,99.00,999,1034.5,12.0,999.0,8.4,99.0,99.00,
2020,01,09,13,00,34,4.8,5.9,99.00,99.00,99.00,999,1035.1,12.0,999.0,8.3,99.0,99.00,
2020,01,09,14,00,36,4.1,4.9,99.00,99.00,99.00,999,1036.0,12.5,999.0,9.9,99.0,99.00,
2020,01,09,15,00,35,5.5,6.7,99.00,99.00,99.00,999,1036.6,13.6,999.0,11.0,99.0,99.00,
2020,01,09,16,00,47,7.0,8.0,99.00,99.00,99.00,999,1036.9,14.1,999.0,11.2,99.0,99.00,
2020,01,09,17,00,41,7.9,8.9,99.00,99.00,99.00,999,1036.4,14.2,999.0,10.5,99.0,99.00,
2020,01,09,18,00,44,9.2,10.0,99.00,99.00,99.00,999,1035.9,14.4,999.0,9.6,99.0,99.00,
2020,01,09,19,00,47,9.6,10.9,99.00,99.00,99.00,999,1035.4,14.5,999.0,9.3,99.0,99.00,
2020,01,09,20,00,47,10.5,12.4,99.00,99.00,99.00,999,1034.8,14.4,999.0,9.2,99.0,99.00,
2020,01,09,21,00,44,10.5,11.7,99.00,99.00,99.00,999,1035.1,14.1,999.0,9.5,99.0,99.00,
2020,01,09,22,00,45,10.5,12.6,99.00,99.00,99.00,999,1035.1,14.0,999.0,9.9,99.0,99.00,
2020,01,09,23,00,38,8.6,9.7,99.00,99.00,99.00,999,1035.2,13.8,999.0,10.8,99.0,99.00,
2020,01,10,00,00,45,11.1,12.7,99.00,99.00,99.00,999,1034.8,13.3,999.0,11.5,99.0,99.00,
2020,01,10,01,00,46,9.5,11.0,99.00,99.00,99.00,999,1034.8,13.6,999.0,12.6,99.0,99.00,
2020,01,10,02,00,37,7.6,9.1,99.00,99.00,99.00,999,1035.2,13.7,999.0,13.1,99.0,99.00,
2020,01,10,03,00,46,7.7,8.9,99.00,99.00,99.00,999,1034.6,13.8,999.0,13.3,99.0,99.00,
2020,01,10,04,00,40,5.7,6.6,99.00,99.00,99.00,999,1034.6,13.8,999.0,13.6,99.0,99.00,
2020,01,10,05,00,32,4.7,6.0,99.00,99.00,99.00,999,1034.3,13.8,999.0,13.4,99.0,99.00,
2020,01,10,06,00,9,4.4,5.2,99.00,99.00,99.00,999,1034.1,13.4,999.0,13.3,99.0,99.00,
2020,01,10,07,00,7,4.1,4.7,99.00,99.00,99.00,999,1034.0,13.3,999.0,13.1,99.0,99.00,
2020,01,10,08,00,10,4.1,5.0,99.00,99.00,99.00,999,1033.8,13.3,999.0,13.0,99.0,99.00,
2020,01,10,09,00,14,3.7,4.3,99.00,99.00,99.00,999,1033.3,13.4,999.0,13.0,99.0,99.00,
